client_id,imf_id,jours_retard_actuel,nb_incidents_paiement_12m,label_defaut_90j,score_anomalie
CLAG0300200237,3,12,1,0,-0.027264696893294027
CLAG0300100486,3,25,0,0,-0.02793189443180677
CLAG0300500047,3,77,2,0,-0.07888112109908962
CLAG0100100360,1,0,0,0,-0.01940548848365986
CLAG0300600210,3,7,0,0,-0.021314538086466328
CLAG0200601144,2,496,12,1,-0.02074969762499379
CLAG0300500644,3,125,6,0,-0.016394804072126123
CLAG0200200342,2,46,2,0,-0.016841009272072327
CLAG0100401019,1,0,2,0,-0.00043390698817480367
CLAG0300200904,3,150,6,0,-0.010353229172328948
CLAG0200600989,2,458,12,0,-0.012083109276029513
CLAG0200100889,2,47,2,0,-0.030315275245089812
CLAG0200600799,2,398,12,1,-0.03395023097225036
CLAG0100100457,1,0,2,0,-0.01908101980302379
CLAG0300601198,3,130,5,0,-0.00043224254118412464
CLAG0100600830,1,81,4,1,-0.03913036070090603
CLAG0100200081,1,0,0,0,-0.0008486174469712893
CLAG0200600898,2,532,12,1,-0.004244081593799076
CLAG0200200872,2,68,3,0,-0.033197658877836544
CLAG0100200219,1,0,0,0,-0.017420304103402673
CLAG0300101078,3,25,1,0,-0.015846933540970665
CLAG0300100732,3,48,2,0,-0.016450956637371505
CLAG0200200462,2,60,2,0,-0.019328071326033647
CLAG0200600554,2,409,12,1,-0.004124443786315712
CLAG0100600925,1,9,2,0,-0.0012856105168208565
CLAG0300200103,3,161,7,1,-0.033693746296441174
CLAG0100400148,1,0,1,0,-0.006652061868451464
CLAG0100300286,1,0,0,0,-0.008126492544532682
CLAG0200200790,2,23,1,0,-0.041593842901912925
CLAG0200600842,2,506,12,1,-0.031811110078806215
CLAG0100401052,1,0,1,0,-0.022849220110666812
CLAG0200601044,2,512,12,1,-0.0072743443804846875
CLAG0200600241,2,339,11,1,-0.03388843584346379
CLAG0100501047,1,41,1,0,-0.011819007112951807
CLAG0100200399,1,0,1,0,-0.02592912399852021
CLAG0300100520,3,83,2,0,-0.0162047064544365
CLAG0200601063,2,538,12,1,-0.003343516096846355
CLAG0300400072,3,9,0,1,-0.00831905225244245
CLAG0200500305,2,281,10,1,-0.0063393386922114825
CLAG0200300615,2,167,6,0,-0.0023769624840898063
CLAG0300200675,3,8,2,0,-0.03823946199833905
CLAG0300100945,3,94,5,0,-0.03980782039704678
CLAG0300100190,3,34,2,0,-0.032669795145794045
CLAG0200500913,2,267,9,0,-0.0007186601130041437
CLAG0200500337,2,348,12,0,-0.02742865545397677
CLAG0300100289,3,11,1,0,-0.004714435076302648
CLAG0300600029,3,170,5,0,-0.008518207037452763
CLAG0200500417,2,314,11,1,-0.0005747844767883814
CLAG0200600688,2,487,12,1,-0.0008388261944042297
CLAG0300200090,3,24,0,0,-0.032200587167703465
CLAG0100200471,1,0,0,1,-0.04597624259791777
CLAG0300101198,3,152,7,1,-0.006031862723497983
CLAG0300101102,3,111,4,0,-0.05358616401765803
CLAG0200100002,2,42,1,0,-0.023867713087836084
CLAG0100200844,1,0,2,0,-0.0011105114957438156
CLAG0200100187,2,50,1,1,-0.002767594709569443
CLAG0100300573,1,0,0,0,-0.016007301864416568
CLAG0200601064,2,408,12,1,-9.95727543484648e-06
CLAG0200501045,2,285,9,0,-0.002916547003356973
CLAG0200200799,2,70,4,0,-0.008134339466090434
CLAG0200200480,2,73,3,1,-0.0222163282203095
CLAG0200101163,2,55,2,0,-0.04750918663323145
CLAG0300200251,3,107,3,1,-0.016316104736018522
CLAG0300101039,3,24,2,0,-0.03383655451593648
